PCTNAME	MCDNAME	COUNTYNAME	TOTVOTING	USPRSR	USPRSDFL	USPRSTOTAL	pct_usprsr_2012	pct_usprsd_2012	victory_margin_2012
AKRON TWP	Akron Twp	Big Stone	99	35	59	98	35.71	60.2	-24
ALMOND TWP	Almond Twp	Big Stone	73	30	40	73	41.1	54.79	-14
ARTICHOKE TWP	Artichoke Twp	Big Stone	57	20	32	57	35.09	56.14	-21
BARRY	Barry	Big Stone	11	3	8	11	27.27	72.73	-45
BIG STONE TWP	Big Stone Twp	Big Stone	178	116	57	175	66.29	32.57	34
BROWNS VALLEY TWP	Browns Valley Twp	Big Stone	76	36	40	76	47.37	52.63	-5
BEARDSLEY	Beardsley	Big Stone	96	31	61	95	32.63	64.21	-32
CLINTON	Clinton	Big Stone	213	79	125	212	37.26	58.96	-22
CORRELL	Correll	Big Stone	13	5	8	13	38.46	61.54	-23
FOSTER TWP	Foster Twp	Big Stone	85	37	45	85	43.53	52.94	-9
GRACEVILLE	Graceville	Big Stone	327	148	172	326	45.4	52.76	-7
GRACEVILLE TWP	Graceville Twp	Big Stone	53	29	21	52	55.77	40.38	15
JOHNSON	Johnson	Big Stone	14	8	5	13	61.54	38.46	23
MALTA TWP	Malta Twp	Big Stone	53	30	21	53	56.6	39.62	17
MOONSHINE TWP	Moonshine Twp	Big Stone	52	33	19	52	63.46	36.54	27
ODESSA	Odessa	Big Stone	61	32	28	61	52.46	45.9	7
ODESSA TWP	Odessa Twp	Big Stone	85	50	32	84	59.52	38.1	21
ORTONVILLE P-1	Ortonville	Big Stone	662	351	294	657	53.42	44.75	9
ORTONVILLE P-2	Ortonville	Big Stone	367	184	173	361	50.97	47.92	3
ORTONVILLE TWP	Ortonville Twp	Big Stone	53	36	17	53	67.92	32.08	36
OTREY TWP	Otrey Twp	Big Stone	51	26	24	50	52	48	4
PRIOR TWP	Prior Twp	Big Stone	114	54	54	109	49.54	49.54	0
TOQUA TWP	Toqua Twp	Big Stone	23	12	10	23	52.17	43.48	9
AMBOY	Amboy	Blue Earth	263	138	118	262	52.67	45.04	8
BEAUFORD TWP	Beauford Twp	Blue Earth	226	143	77	223	64.13	34.53	30
BUTTERNUT VALLEY TWP	Butternut Valley Twp	Blue Earth	184	97	83	183	53.01	45.36	8
CAMBRIA TWP	Cambria Twp	Blue Earth	169	81	83	168	48.21	49.4	-1
CERESCO TWP	Ceresco Twp	Blue Earth	117	62	51	116	53.45	43.97	9
DANVILLE TWP	Danville Twp	Blue Earth	152	76	70	152	50	46.05	4
DECORIA TWP	Decoria Twp	Blue Earth	671	388	271	670	57.91	40.45	17
EAGLE LAKE	Eagle Lake	Blue Earth	1280	661	581	1274	51.88	45.6	6
GARDEN CITY TWP	Garden City Twp	Blue Earth	421	219	190	420	52.14	45.24	7
GOOD THUNDER	Good Thunder	Blue Earth	298	124	159	295	42.03	53.9	-12
JAMESTOWN TWP	Jamestown Twp	Blue Earth	428	225	190	426	52.82	44.6	8
JUDSON TWP	Judson Twp	Blue Earth	326	164	152	325	50.46	46.77	4
LAKE CRYSTAL	Lake Crystal	Blue Earth	1325	553	717	1313	42.12	54.61	-12
LE RAY TWP	Le Ray Twp	Blue Earth	454	239	199	452	52.88	44.03	9
LIME TWP	Lime Twp	Blue Earth	782	427	328	778	54.88	42.16	13
LINCOLN TWP	Lincoln Twp	Blue Earth	109	79	27	109	72.48	24.77	48
LYRA TWP	Lyra Twp	Blue Earth	197	113	80	196	57.65	40.82	17
MCPHERSON TWP	Mcpherson Twp	Blue Earth	249	113	126	247	45.75	51.01	-5
MADISON LAKE	Madison Lake	Blue Earth	529	231	283	526	43.92	53.8	-10
MANKATO  W-05 P-02	Mankato	Blue Earth	232	86	129	232	37.07	55.6	-19
MANKATO  W-05 P-03	Mankato	Blue Earth	812	314	460	811	38.72	56.72	-18
MANKATO  W-05 P-04	Mankato	Blue Earth	445	133	301	444	29.95	67.79	-38
MANKATO  W-05 P-05	Mankato	Blue Earth	679	240	399	676	35.5	59.02	-24
MANKATO  W-05 P-06	Mankato	Blue Earth	1338	475	810	1326	35.82	61.09	-25
MANKATO  W-03 P-07	Mankato	Blue Earth	1111	419	653	1108	37.82	58.94	-21
MANKATO  W-03 P-08	Mankato	Blue Earth	1449	661	751	1444	45.78	52.01	-6
MANKATO  W-03 P-09	Mankato	Blue Earth	1549	618	850	1541	40.1	55.16	-15
MANKATO  W-04 P-10	Mankato	Blue Earth	2905	973	1775	2890	33.67	61.42	-28
MANKATO  W-01 P-11	Mankato	Blue Earth	1807	644	1068	1789	36	59.7	-24
MANKATO  W-01 P-12	Mankato	Blue Earth	704	295	386	700	42.14	55.14	-13
MANKATO  W-04 P-13	Mankato	Blue Earth	1018	437	512	1009	43.31	50.74	-7
MANKATO  W-01 P-14	Mankato	Blue Earth	1897	809	1027	1887	42.87	54.43	-12
MANKATO  W-02 P-16	Mankato	Blue Earth	1262	580	630	1259	46.07	50.04	-4
MANKATO  W-02 P-17	Mankato	Blue Earth	85	26	53	85	30.59	62.35	-32
MANKATO TWP P-1	Mankato Twp	Blue Earth	161	102	53	161	63.35	32.92	30
MAPLETON	Mapleton	Blue Earth	874	418	430	871	47.99	49.37	-1
MAPLETON TWP	Mapleton Twp	Blue Earth	151	89	57	149	59.73	38.26	21
MEDO TWP	Medo Twp	Blue Earth	181	111	60	180	61.67	33.33	28
MINNESOTA LAKE	Minnesota Lake	Blue Earth	6	4	2	6	66.67	33.33	33
NORTH MANKATO	North Mankato	Blue Earth	2	1	1	2	50	50	0
PEMBERTON	Pemberton	Blue Earth	114	55	54	114	48.25	47.37	1
PLEASANT MOUND TWP	Pleasant Mound Twp	Blue Earth	127	92	31	126	73.02	24.6	48
RAPIDAN TWP	Rapidan Twp	Blue Earth	726	384	316	720	53.33	43.89	9
SAINT CLAIR	St. Clair	Blue Earth	420	184	221	420	43.81	52.62	-9
SHELBY TWP	Shelby Twp	Blue Earth	166	93	67	165	56.36	40.61	16
SKYLINE	Skyline	Blue Earth	208	92	110	207	44.44	53.14	-9
SOUTH BEND TWP	South Bend Twp	Blue Earth	788	370	391	786	47.07	49.75	-3
STERLING TWP	Sterling Twp	Blue Earth	169	108	59	168	64.29	35.12	29
VERNON CENTER	Vernon Center	Blue Earth	176	99	70	175	56.57	40	17
VERNON CENTER TWP	Vernon Center Twp	Blue Earth	141	75	61	139	53.96	43.88	10
ALBIN TWP	Albin Twp	Brown	176	125	47	174	71.84	27.01	45
BASHAW TWP	Bashaw Twp	Brown	134	93	31	130	71.54	23.85	48
BURNSTOWN TWP	Burnstown Twp	Brown	148	112	33	146	76.71	22.6	54
COBDEN	Cobden	Brown	10	3	5	10	30	50	-20
COMFREY	Comfrey	Brown	196	100	93	194	51.55	47.94	4
COTTONWOOD TWP	Cottonwood Twp	Brown	524	325	184	522	62.26	35.25	27
EDEN TWP	Eden Twp	Brown	154	121	31	154	78.57	20.13	58
EVAN	Evan	Brown	37	18	17	37	48.65	45.95	3
HANSKA	Hanska	Brown	203	76	116	201	37.81	57.71	-20
HOME TWP	Home Twp	Brown	310	248	59	309	80.26	19.09	61
LAKE HANSKA TWP	Lake Hanska Twp	Brown	178	87	87	176	49.43	49.43	0
LEAVENWORTH TWP	Leavenworth Twp	Brown	168	121	42	168	72.02	25	47
LINDEN TWP	Linden Twp	Brown	184	106	72	182	58.24	39.56	19
MILFORD TWP	Milford Twp	Brown	441	292	144	440	66.36	32.73	34
MULLIGAN TWP	Mulligan Twp	Brown	109	66	41	108	61.11	37.96	23
NEW ULM W-1 P-1	New Ulm	Brown	761	326	391	757	43.06	51.65	-9
NEW ULM W-1 P-2	New Ulm	Brown	995	463	492	989	46.81	49.75	-3
NEW ULM W-2 P-1	New Ulm	Brown	880	422	427	872	48.39	48.97	-1
NEW ULM W-2 P-2	New Ulm	Brown	796	397	358	791	50.19	45.26	5
NEW ULM W-3 P-1	New Ulm	Brown	1100	610	457	1086	56.17	42.08	14
NEW ULM W-3 P-2	New Ulm	Brown	893	389	461	891	43.66	51.74	-8
NEW ULM W-4 P-1	New Ulm	Brown	1049	567	447	1045	54.26	42.78	11
NEW ULM W-4 P-2	New Ulm	Brown	1035	651	362	1032	63.08	35.08	28
NORTH STAR TWP	North Star Twp	Brown	139	107	24	134	79.85	17.91	62
PRAIRIEVILLE TWP	Prairieville Twp	Brown	169	137	26	168	81.55	15.48	66
SIGEL TWP	Sigel Twp	Brown	241	142	91	240	59.17	37.92	21
SLEEPY EYE W-1	Sleepy Eye	Brown	725	406	300	717	56.62	41.84	15
SLEEPY EYE W-2	Sleepy Eye	Brown	949	608	322	943	64.48	34.15	30
SPRINGFIELD W-1	Springfield	Brown	496	283	196	488	57.99	40.16	18
SPRINGFIELD W-2	Springfield	Brown	537	303	222	532	56.95	41.73	15
STARK TWP	Stark Twp	Brown	200	162	34	200	81	17	64
STATELY TWP	Stately Twp	Brown	93	72	18	93	77.42	19.35	58
ATKINSON TWP	Atkinson Twp	Carlton	238	104	122	238	43.7	51.26	-8
AUTOMBA TWP	Automba Twp	Carlton	80	30	42	79	37.97	53.16	-15
BARNUM	Barnum	Carlton	255	91	156	251	36.25	62.15	-26
BARNUM TWP	Barnum Twp	Carlton	620	238	362	616	38.64	58.77	-20
BESEMAN TWP	Beseman Twp	Carlton	59	23	35	59	38.98	59.32	-20
BLACKHOOF TWP	Blackhoof Twp	Carlton	548	211	317	545	38.72	58.17	-19
CARLTON	Carlton	Carlton	406	125	261	405	30.86	64.44	-34
CLOQUET W-1	Cloquet	Carlton	1384	516	834	1378	37.45	60.52	-23
CLOQUET W-2	Cloquet	Carlton	1026	308	691	1022	30.14	67.61	-37
CLOQUET W-3	Cloquet	Carlton	1244	355	850	1236	28.72	68.77	-40
CLOQUET W-4	Cloquet	Carlton	1189	386	771	1180	32.71	65.34	-33
CLOQUET W-5 P-1	Cloquet	Carlton	1100	417	662	1098	37.98	60.29	-22
CLOQUET W-5 P-2	Cloquet	Carlton	275	30	239	274	10.95	87.23	-76
CLEAR CREEK UNORG	Clear Creek Unorganized	Carlton	70	30	39	70	42.86	55.71	-13
CORONA UNORG	Corona Unorganized	Carlton	78	25	50	76	32.89	65.79	-33
CROMWELL	Cromwell	Carlton	104	31	69	103	30.1	66.99	-37
EAGLE TWP	Eagle Twp	Carlton	311	133	172	310	42.9	55.48	-13
HOLYOKE TWP	Holyoke Twp	Carlton	114	46	65	114	40.35	57.02	-17
KALEVALA TWP	Kalevala Twp	Carlton	191	78	104	191	40.84	54.45	-14
KETTLE RIVER	Kettle River	Carlton	79	26	47	77	33.77	61.04	-27
LAKEVIEW TWP	Lakeview Twp	Carlton	106	43	61	106	40.57	57.55	-17
MAHTOWA TWP	Mahtowa Twp	Carlton	371	139	221	369	37.67	59.89	-22
MOOSE LAKE	Moose Lake	Carlton	802	233	525	791	29.46	66.37	-37
MOOSE LAKE TWP	Moose Lake Twp	Carlton	546	239	290	544	43.93	53.31	-9
PROGRESS UNORG	Progress Unorganized	Carlton	12	0	12	12	0	100	-100
PERCH LAKE TWP	Perch Lake Twp	Carlton	534	144	378	529	27.22	71.46	-44
RED CLOVER UNORG	Red Clover Unorganized	Carlton	137	59	70	137	43.07	51.09	-8
SAWYER UNORG	Sawyer Unorganized	Carlton	187	50	127	184	27.17	69.02	-42
SCANLON	Scanlon	Carlton	554	160	380	554	28.88	68.59	-40
SILVER BROOK TWP	Silver Brook Twp	Carlton	362	149	197	360	41.39	54.72	-13
SILVER TWP	Silver Twp	Carlton	265	110	147	265	41.51	55.47	-14
SKELTON TWP	Skelton Twp	Carlton	229	85	134	227	37.44	59.03	-22
SPLIT ROCK TWP	Split Rock Twp	Carlton	78	34	41	77	44.16	53.25	-9
THOMSON	Thomson	Carlton	99	21	77	98	21.43	78.57	-57
THOMSON TWP	Thomson Twp	Carlton	3107	1289	1724	3082	41.82	55.94	-14
TWIN LAKES TWP	Twin Lakes Twp	Carlton	1261	467	763	1256	37.18	60.75	-24
WRENSHALL	Wrenshall	Carlton	229	52	171	228	22.81	75	-52
WRENSHALL TWP	Wrenshall Twp	Carlton	244	101	140	244	41.39	57.38	-16
WRIGHT	Wright	Carlton	51	8	43	51	15.69	84.31	-69
BENTON TWP	Benton Twp	Carver	502	353	136	499	70.74	27.25	43
CAMDEN TWP	Camden Twp	Carver	540	401	127	538	74.54	23.61	51
CARVER	Carver	Carver	2057	1174	838	2054	57.16	40.8	16
CHANHASSEN P-1A	Chanhassen	Carver	1860	1031	794	1857	55.52	42.76	13
CHANHASSEN P-1B	Chanhassen	Carver	2084	1062	965	2077	51.13	46.46	5
CHANHASSEN P-2A	Chanhassen	Carver	1521	927	581	1520	60.99	38.22	23
CHANHASSEN P-2B	Chanhassen	Carver	2172	1211	915	2164	55.96	42.28	14
CHANHASSEN P-3	Chanhassen	Carver	2527	1553	936	2520	61.63	37.14	24
CHANHASSEN P-4	Chanhassen	Carver	2502	1396	1046	2493	56	41.96	14
CHANHASSEN P-5	Chanhassen	Carver	1992	1218	741	1988	61.27	37.27	24
CHASKA W-1	Chaska	Carver	3239	1724	1430	3226	53.44	44.33	9
CHASKA W-2	Chaska	Carver	3418	1929	1432	3409	56.59	42.01	15
CHASKA W-3	Chaska	Carver	2888	1477	1324	2880	51.28	45.97	5
CHASKA W-4	Chaska	Carver	3235	1596	1541	3224	49.5	47.8	2
COLOGNE	Cologne	Carver	806	440	349	804	54.73	43.41	11
DAHLGREN TWP P-1	Dahlgren Twp	Carver	790	483	274	784	61.61	34.95	27
DAHLGREN TWP P-2	Dahlgren Twp	Carver	27	15	9	27	55.56	33.33	22
HAMBURG	Hamburg	Carver	292	195	92	290	67.24	31.72	36
HANCOCK TWP	Hancock Twp	Carver	215	140	72	215	65.12	33.49	32
HOLLYWOOD TWP	Hollywood Twp	Carver	642	453	172	638	71	26.96	44
LAKETOWN TWP P-1	Laketown Twp	Carver	1295	884	382	1291	68.47	29.59	39
LAKETOWN TWP P-2	Laketown Twp	Carver	2	2	0	2	100	0	100
MAYER	Mayer	Carver	965	651	299	964	67.53	31.02	37
NEW GERMANY	New Germany	Carver	195	124	61	191	64.92	31.94	33
NORWOOD YOUNG AMERICA	Norwood Young America	Carver	1811	1118	644	1808	61.84	35.62	26
SAN FRANCISCO TWP	San Francisco Twp	Carver	568	331	221	562	58.9	39.32	20
VICTORIA P-1	Victoria	Carver	1037	667	353	1034	64.51	34.14	30
VICTORIA P-2	Victoria	Carver	1831	1099	699	1824	60.25	38.32	22
VICTORIA P-3	Victoria	Carver	1778	1245	522	1776	70.1	29.39	41
WACONIA W-1	Waconia	Carver	2997	1797	1134	2977	60.36	38.09	22
WACONIA W-2	Waconia	Carver	3038	1751	1208	3023	57.92	39.96	18
WACONIA TWP	Waconia Twp	Carver	788	518	261	787	65.82	33.16	33
WATERTOWN	Watertown	Carver	2219	1353	801	2210	61.22	36.24	25
WATERTOWN TWP	Watertown Twp	Carver	786	501	269	783	63.98	34.36	30
YOUNG AMERICA TWP	Young America Twp	Carver	460	336	117	460	73.04	25.43	48
ANSEL TWP	Ansel Twp	Cass	46	35	6	44	79.55	13.64	66
BACKUS	Backus	Cass	98	43	49	95	45.26	51.58	-6
BARCLAY TWP	Barclay Twp	Cass	240	154	76	237	64.98	32.07	33
BECKER TWP	Becker Twp	Cass	267	178	83	267	66.67	31.09	36
BENA	Bena	Cass	38	4	31	36	11.11	86.11	-75
BEULAH TWP	Beulah Twp	Cass	49	30	17	49	61.22	34.69	27
BIRCH LAKE TWP	Birch Lake Twp	Cass	422	243	170	420	57.86	40.48	17
BLIND LAKE TWP	Blind Lake Twp	Cass	35	17	16	35	48.57	45.71	3
BOY LAKE TWP	Boy Lake Twp	Cass	132	57	71	132	43.18	53.79	-11
BOY RIVER CITY	Boy River	Cass	8	4	3	8	50	37.5	13
BOY RIVER TWP	Boy River Twp	Cass	44	27	15	42	64.29	35.71	29
BULL MOOSE TWP	Bull Moose Twp	Cass	58	38	19	57	66.67	33.33	33
BUNGO TWP	Bungo Twp	Cass	90	61	27	89	68.54	30.34	38
BYRON TWP	Byron Twp	Cass	73	42	28	71	59.15	39.44	20
CASS LAKE	Cass Lake	Cass	264	47	209	263	17.87	79.47	-62
CHICKAMAW BEACH	Chickamaw Beach	Cass	76	43	31	76	56.58	40.79	16
CROOKED LAKE TWP	Crooked Lake Twp	Cass	384	180	196	382	47.12	51.31	-4
DEERFIELD TWP	Deerfield Twp	Cass	74	45	27	74	60.81	36.49	24
EAST GULL LAKE	East Gull Lake	Cass	701	450	240	700	64.29	34.29	30
FAIRVIEW TWP	Fairview Twp	Cass	530	360	161	530	67.92	30.38	38
FEDERAL DAM	Federal Dam	Cass	47	16	29	47	34.04	61.7	-28
GOULD TWP	Gould Twp	Cass	89	33	54	89	37.08	60.67	-24
HACKENSACK	Hackensack	Cass	178	83	92	176	47.16	52.27	-5
HARDWOOD SOUTH	North Central Cass Unorganized	Cass	24	18	6	24	75	25	50
HIRAM TWP	Hiram Twp	Cass	253	136	111	253	53.75	43.87	10
HOMEBROOK TWP	HomeBrook Twp	Cass	149	102	41	149	68.46	27.52	41
INGUADONA TWP	Inguadona Twp	Cass	116	63	50	116	54.31	43.1	11
KEGO TWP	Kego Twp	Cass	325	177	146	325	54.46	44.92	10
LAKE SHORE	Lake Shore	Cass	748	501	234	745	67.25	31.41	36
LEECH LAKE TWP	Leech Lake Twp	Cass	302	168	123	299	56.19	41.14	15
LIMA TWP	Lima Twp	Cass	48	30	17	47	63.83	36.17	28
LONGVILLE	Longville	Cass	109	71	35	108	65.74	32.41	33
LOON LAKE TWP	Loon Lake Twp	Cass	320	185	117	318	58.18	36.79	21
MCKINLEY TWP	Mckinley Twp	Cass	66	39	26	66	59.09	39.39	20
MAPLE TWP	Maple Twp	Cass	194	126	67	194	64.95	34.54	30
MAY TWP	May Twp	Cass	450	307	126	449	68.37	28.06	40
MEADOWBROOK TWP	MeadowBrook Twp	Cass	77	53	24	77	68.83	31.17	38
MOOSE LAKE TWP	Moose Lake Twp	Cass	61	38	20	61	62.3	32.79	30
MOTLEY	Motley	Cass	6	6	0	6	100	0	100
OTTERTAIL PENINSULA TWP	Otter Tail Peninsula Twp	Cass	42	25	17	42	59.52	40.48	19
PIKE BAY TWP	Pike Bay Twp	Cass	665	142	510	662	21.45	77.04	-56
PILLAGER	Pillager	Cass	234	128	100	233	54.94	42.92	12
PINE LAKE TWP	Pine Lake Twp	Cass	141	56	82	139	40.29	58.99	-19
PINE RIVER	Pine River	Cass	376	221	140	373	59.25	37.53	22
PINE RIVER TWP	Pine River Twp	Cass	567	360	191	565	63.72	33.81	30
PONTO LAKE TWP	Ponto Lake Twp	Cass	358	205	144	356	57.58	40.45	17
POPLAR TWP	Poplar Twp	Cass	46	33	12	46	71.74	26.09	46
POWERS TWP	Powers Twp	Cass	472	263	198	472	55.72	41.95	14
REMER	Remer	Cass	137	60	68	136	44.12	50	-6
REMER TWP	Remer Twp	Cass	87	51	34	87	58.62	39.08	20
ROGERS POINT	North Central Cass Unorganized	Cass	0	0	0	0			
ROGERS TWP	Rogers Twp	Cass	61	35	25	60	58.33	41.67	17
SALEM TWP P-1	Salem Twp	Cass	58	41	14	58	70.69	24.14	47
SALEM TWP P-2	Salem Twp	Cass	0	0	0	0			
SHINGOBEE TWP P-1	Shingobee Twp	Cass	931	522	393	929	56.19	42.3	14
SHINGOBEE TWP P-2	Shingobee Twp	Cass	89	11	77	89	12.36	86.52	-74
SLATER TWP	Slater Twp	Cass	117	77	38	117	65.81	32.48	33
SMOKY HOLLOW TWP	Smoky Hollow Twp	Cass	43	24	16	43	55.81	37.21	19
SUCKER LAKES	North Cass Unorg	Cass	4	1	3	4	25	75	-50
SYLVAN TWP	Sylvan Twp	Cass	1381	794	551	1379	57.58	39.96	18
THUNDER LAKE TWP	Thunder Lake Twp	Cass	191	116	71	188	61.7	37.77	24
TORREY TWP	Torrey Twp	Cass	84	46	33	82	56.1	40.24	16
TRELIPE TWP	Trelipe Twp	Cass	109	61	48	109	55.96	44.04	12
TURTLE LAKE TWP	Turtle Lake Twp	Cass	414	216	197	413	52.3	47.7	5
WABEDO TWP	Wabedo Twp	Cass	328	192	136	328	58.54	41.46	17
WAHNENA	Wahnena Unorganized	Cass	86	59	27	86	68.6	31.4	37
WALDEN TWP	Walden Twp	Cass	207	124	65	204	60.78	31.86	29
WALKER	Walker	Cass	575	270	298	572	47.2	52.1	-5
WILKINSON TWP	Wilkinson Twp	Cass	223	66	152	222	29.73	68.47	-39
WILLOW RIVER	East Cass Unorg	Cass	25	9	15	25	36	60	-24
WILSON TWP	Wilson Twp	Cass	318	212	96	316	67.09	30.38	37
WINNIE PORTAGE LAKES	North Cass Unorg	Cass	110	48	58	109	44.04	53.21	-9
WOODROW TWP	Woodrow Twp	Cass	541	279	256	541	51.57	47.32	4
BIG BEND TWP	Big Bend Twp	Chippewa	157	47	107	157	29.94	68.15	-38
CLARA CITY	Clara City	Chippewa	698	342	331	686	49.85	48.25	2
CRATE TWP	Crate Twp	Chippewa	109	47	59	107	43.93	55.14	-11
GRACE TWP	Grace Twp	Chippewa	70	35	30	69	50.72	43.48	7
GRANITE FALLS W-2	Granite Falls	Chippewa	480	182	290	480	37.92	60.42	-22
GRANITE FALLS TWP P-1	Granite Falls Twp	Chippewa	137	74	62	137	54.01	45.26	9
GRANITE FALLS TWP P-2	Granite Falls Twp	Chippewa	0	0	0	0			
HAVELOCK TWP	Havelock Twp	Chippewa	91	33	55	90	36.67	61.11	-24
KRAGERO TWP	Kragero Twp	Chippewa	90	26	62	90	28.89	68.89	-40
LEENTHROP TWP	Leenthrop Twp	Chippewa	137	74	58	136	54.41	42.65	12
LONE TREE TWP	Lone Tree Twp	Chippewa	101	69	30	100	69	30	39
LOURISTON TWP	Louriston Twp	Chippewa	80	49	29	80	61.25	36.25	25
MANDT TWP	Mandt Twp	Chippewa	88	34	49	86	39.53	56.98	-17
MAYNARD	Maynard	Chippewa	159	71	82	158	44.94	51.9	-7
MILAN	Milan	Chippewa	145	45	97	144	31.25	67.36	-36
MONTEVIDEO P-1	Montevideo	Chippewa	1223	541	637	1216	44.49	52.38	-8
MONTEVIDEO P-2	Montevideo	Chippewa	1242	580	618	1232	47.08	50.16	-3
RHEIDERLAND TWP	Rheiderland Twp	Chippewa	148	121	27	148	81.76	18.24	64
ROSEWOOD TWP	Rosewood Twp	Chippewa	188	124	61	188	65.96	32.45	34
SPARTA TWP	Sparta Twp	Chippewa	435	216	205	433	49.88	47.34	3
STONEHAM TWP	Stoneham Twp	Chippewa	134	71	58	133	53.38	43.61	10
TUNSBERG TWP	Tunsberg Twp	Chippewa	126	65	59	125	52	47.2	5
WATSON	Watson	Chippewa	97	41	48	94	43.62	51.06	-7
WOODS TWP	Woods Twp	Chippewa	113	80	29	112	71.43	25.89	46
AMADOR TWP	Amador Twp	Chisago	498	274	214	497	55.13	43.06	12
CENTER CITY	Center City	Chisago	375	165	205	374	44.12	54.81	-11
CHISAGO CITY	Chisago City	Chisago	2891	1531	1297	2886	53.05	44.94	8
CHISAGO LAKE TWP (N)	Chisago Lake Twp	Chisago	1400	762	591	1394	54.66	42.4	12
CHISAGO LAKE TWP (S)	Chisago Lake Twp	Chisago	1549	844	668	1545	54.63	43.24	11
FISH LAKE TWP	Fish Lake Twp	Chisago	1237	703	505	1232	57.06	40.99	16
FRANCONIA TWP	Franconia Twp	Chisago	973	528	418	968	54.55	43.18	11
HARRIS	Harris	Chisago	654	343	285	650	52.77	43.85	9
LENT TWP	Lent Twp	Chisago	1829	1101	681	1819	60.53	37.44	23
LINDSTROM	Lindstrom	Chisago	2477	1294	1118	2463	52.54	45.39	7
NESSEL TWP	Nessel Twp	Chisago	1197	736	431	1193	61.69	36.13	26
NORTH BRANCH P-B	North Branch	Chisago	1460	766	651	1451	52.79	44.87	8
NORTH BRANCH P-C	North Branch	Chisago	2297	1254	980	2285	54.88	42.89	12
NORTH BRANCH P-A	North Branch	Chisago	1319	775	504	1315	58.94	38.33	21
RUSH CITY	Rush City	Chisago	974	443	497	969	45.72	51.29	-6
RUSHSEBA TWP	Rushseba Twp	Chisago	444	261	170	440	59.32	38.64	21
SHAFER	Shafer	Chisago	508	275	215	504	54.56	42.66	12
SHAFER TWP P-A	Shafer Twp	Chisago	619	329	269	616	53.41	43.67	10
SHAFER TWP P-B	Shafer Twp	Chisago	26	11	15	26	42.31	57.69	-15
STACY	Stacy	Chisago	691	392	271	686	57.14	39.5	18
SUNRISE TWP	Sunrise Twp	Chisago	1169	652	479	1167	55.87	41.05	15
TAYLORS FALLS	Taylors Falls	Chisago	590	287	285	588	48.81	48.47	0
WYOMING	Wyoming	Chisago	4401	2501	1775	4373	57.19	40.59	17
ALLIANCE TWP	Alliance Twp	Clay	124	69	55	124	55.65	44.35	11
BARNESVILLE CITY W-1	Barnesville	Clay	428	208	212	428	48.6	49.53	-1
BARNESVILLE CITY W-2	Barnesville	Clay	337	170	161	337	50.45	47.77	3
BARNESVILLE CITY W-3	Barnesville	Clay	405	207	191	405	51.11	47.16	4
BARNESVILLE TWP	Barnesville Twp	Clay	87	54	32	86	62.79	37.21	26
COMSTOCK CITY	Comstock	Clay	58	38	19	57	66.67	33.33	33
CROMWELL TWP	Cromwell Twp	Clay	215	96	114	214	44.86	53.27	-8
DILWORTH CITY	Dilworth	Clay	1848	799	991	1839	43.45	53.89	-10
EGLON TWP	Eglon Twp	Clay	290	172	113	290	59.31	38.97	20
ELKTON TWP	Elkton Twp	Clay	159	75	82	159	47.17	51.57	-4
ELMWOOD TWP	Elmwood Twp	Clay	231	131	94	229	57.21	41.05	16
FELTON CITY	Felton	Clay	83	47	35	83	56.63	42.17	14
FELTON TWP	Felton Twp	Clay	45	24	19	44	54.55	43.18	11
FLOWING TWP	Flowing Twp	Clay	48	19	27	46	41.3	58.7	-17
GEORGETOWN CITY	Georgetown	Clay	42	22	18	42	52.38	42.86	10
GEORGETOWN TWP	Georgetown Twp	Clay	77	33	39	77	42.86	50.65	-8
GLYNDON CITY	Glyndon	Clay	552	287	245	551	52.09	44.46	8
GLYNDON TWP	Glyndon Twp	Clay	171	104	64	171	60.82	37.43	23
GOOSE PRAIRIE TWP	Goose Prairie Twp	Clay	111	56	53	111	50.45	47.75	3
HAGEN TWP	Hagen Twp	Clay	76	38	38	76	50	50	0
HAWLEY CITY	Hawley	Clay	919	443	435	908	48.79	47.91	1
HAWLEY TWP	Hawley Twp	Clay	259	127	128	258	49.22	49.61	0
HIGHLAND GROVE TWP	Highland Grove Twp	Clay	174	72	97	172	41.86	56.4	-15
HITTERDAL CITY	Hitterdal	Clay	120	59	58	120	49.17	48.33	1
HOLY CROSS TWP	Holy Cross Twp	Clay	84	52	32	84	61.9	38.1	24
HUMBOLDT TWP	Humboldt Twp	Clay	123	74	48	123	60.16	39.02	21
KEENE TWP	Keene Twp	Clay	76	25	49	74	33.78	66.22	-32
KRAGNES TWP	Kragnes Twp	Clay	175	119	51	175	68	29.14	39
KURTZ TWP	Kurtz Twp	Clay	128	67	59	128	52.34	46.09	6
MOLAND TWP	Moland Twp	Clay	178	106	72	178	59.55	40.45	19
MOORHEAD CITY W-1 P-1	Moorhead	Clay	2169	904	1206	2161	41.83	55.81	-14
MOORHEAD CITY W-1 P-2	Moorhead	Clay	1840	641	1114	1830	35.03	60.87	-26
MOORHEAD CITY W-2 P-3	Moorhead	Clay	1380	623	725	1371	45.44	52.88	-7
MOORHEAD CITY W-2 P-4	Moorhead	Clay	2010	884	1061	2001	44.18	53.02	-9
MOORHEAD CITY W-2 P-5A	Moorhead	Clay	808	259	499	804	32.21	62.06	-30
MOORHEAD CITY W-2 P-5B	Moorhead	Clay	739	231	456	736	31.39	61.96	-31
